restaurant_name,sources,source_count
"10Adda","Infatuation",1
"10Shu Jiao Fu Zhou Cuisine","Infatuation",1
"11I Cavallini","Infatuation",1
"11Smithereens","Infatuation",1
"12Bong","Infatuation",1
"12Dar Lbahja","Infatuation",1
"13Saint Urban","Infatuation",1
"13Trinciti Roti Shop","Infatuation",1
"14Ha's Snack Bar","Infatuation",1
"14Santo Taco","Infatuation",1
"15Shaw-naé’s House","Infatuation",1
"16Tatiana","Infatuation",1
"17Carnitas Ramirez","Infatuation",1
"18Semma","Infatuation",1
"1915 Lanzhou Hand-Pulled Noodles","Grub Street",1
"19L'Industrie Pizzeria","Infatuation",1
"20Bridges","Infatuation",1
"21Red Hook Tavern","Infatuation",1
"22Lechonera La Piraña","Infatuation",1
"23Cervo's","Infatuation",1
"24Bolivian Llama Party","Infatuation",1
"25Defonte's","Infatuation",1
"26 Classic Restaurants In NYC","Infatuation",1
"2Ha's Snack Bar","Infatuation",1
"2Thai Diner","Infatuation",1
"3Bridges","Infatuation",1
"3Via Carota","Infatuation",1
"4Bong","Infatuation",1
"4Mắm","Infatuation",1
"5Chrissy's Pizza","Infatuation",1
"5Le Bernardin","Infatuation",1
"6Bánh Anh Em","Infatuation",1
"6Penny","Infatuation",1
"7Sunn's","Infatuation",1
"7Torrisi Bar & Restaurant","Infatuation",1
"8Cho Dang Gol","Infatuation",1
"8Danny & Coop's","Infatuation",1
"9Borgo","Infatuation",1
"9Cocina Consuelo","Infatuation",1
"A Corn Cocktail That Demanded a Second Round","Grub Street",1
"A Gorgeous Pickle Platter","Grub Street",1
"A Hype Pastry With No Gimmicks","Grub Street",1
"A Niche Salad","Grub Street",1
"A Not-Simple Ham Sandwich","Grub Street",1
"A Totally New Taco","Grub Street",1
"A Wonderful Wheat- and Dairy-Free Cinnamon Roll","Grub Street",1
"A&A Bake and Doubles","TimeOut",1
"Adda","Infatuation; TimeOut",2
"Age of the owners’ child when Bong opened","Infatuation",1
"An Entire Block of Delicious Food","Grub Street",1
"And Finally, a Whole Lot of Tiramisu","Grub Street",1
"Atoboy","TimeOut",1
"Aubrey Plaza sightings","Infatuation",1
"Average check for a snacky catch-up","Infatuation",1
"Average check for a solo lunch","Infatuation",1
"Average check for a solo pig-out","Infatuation",1
"Average check for an overachieving lunch","Infatuation",1
"Average check for deux amants","Infatuation",1
"Average check for four","Infatuation",1
"Average check for four at brunch","Infatuation",1
"Average check for four crustacean enthusiasts","Infatuation",1
"Average check for four olive oil aficionados","Infatuation",1
"Average check for four too-hungry-to-talk friends","Infatuation",1
"Average check for two","Infatuation",1
"Average check for two by-the-glass sippers","Infatuation",1
"Average check for two couples","Infatuation",1
"Average check for two fish freaks","Infatuation",1
"Average check for two football fans","Infatuation",1
"Average check for two lingering diners","Infatuation",1
"Average check for your pizza party","Infatuation",1
"Average price of dinner with a wine pairing","Infatuation",1
"Bar Kabawa","Grub Street",1
"Bartolo","Grub Street",1
"Best NYC restaurants at a glance:","TimeOut",1
"Black turtleneck count","Infatuation",1
"Bolivian Llama Party","Infatuation",1
"Bong","Grub Street; Infatuation",2
"Books in the foyer featuring the chef’s face","Infatuation",1
"Borgo","Infatuation; TimeOut",2
"Bottles of Hana Makgeolli to order","Infatuation",1
"Bridges","Grub Street; Infatuation",2
"Briscola","Grub Street",1
"Brooklyn Granary & Mill","Grub Street",1
"Bub’s Bakery","Grub Street",1
"Bulbs on the marquee entrance","Infatuation",1
"Bungalow","Infatuation",1
"Bunna Cafe","TimeOut",1
"Butter Chicken Experiences available nightly","Infatuation",1
"Bánh Anh Em","Grub Street; Infatuation",2
"Cafe Mado","Infatuation",1
"Carbone","Infatuation",1
"Carnitas Ramirez","Grub Street; Infatuation; TimeOut",3
"Ceres","Grub Street",1
"Cervo's","Infatuation",1
"Cervo’s","Infatuation",1
"Cheapest item","Infatuation",1
"Chicken Fingers That Caused a Fuss","Grub Street",1
"Cho Dang Gol","Infatuation",1
"Chrissy's Pizza","Infatuation",1
"Chrissy’s Pizza","Infatuation",1
"Claud","Infatuation",1
"Cocina Consuelo","Grub Street; Infatuation",2
"Coffee for Snobs and Laypeople Alike","Grub Street",1
"Collective team visits","Infatuation",1
"Cookies on the dwaz atay platter","Infatuation",1
"Cooks in the kitchen","Infatuation",1
"Cote","TimeOut",1
"Crane Club","TimeOut",1
"Danny & Coop's","Infatuation",1
"Dar Lbahja","Infatuation",1
"Defonte's","Infatuation",1
"Delmonico’s","TimeOut",1
"Dept of Culture","TimeOut",1
"Depth of flavor in the ragù genovese","Infatuation",1
"Desserts with polarizing ingredients","Infatuation",1
"Dhamaka","Infatuation",1
"Different cuts of pork available","Infatuation",1
"Diner","Infatuation",1
"Dishes that almost read Italian","Infatuation",1
"Distance between you and your neighbor","Infatuation",1
"Distance to Mimi’s frozen yogurt for dessert","Infatuation",1
"Duration of a lazy backyard lunch","Infatuation",1
"Eel Bar","Infatuation; TimeOut",2
"Elbow Bread","Grub Street",1
"Elias Corner","TimeOut",1
"Estela","Infatuation",1
"FIND PLACES ON OUR APP","Infatuation",1
"Fake flower budget","Infatuation",1
"Frenchette","Infatuation",1
"Fresh Pasta We Could Eat in Our Kitchen","Grub Street",1
"Fries Like No Other","Grub Street",1
"Gage & Tollner","TimeOut",1
"Gem Home","Grub Street",1
"Gramercy Tavern","TimeOut",1
"Great Late Night, at Last","Grub Street",1
"Ha's Snack Bar","Infatuation",1
"Hart's","Infatuation",1
"Hart’s,","Infatuation",1
"Hav & Mar","TimeOut",1
"Hawksmoor","TimeOut",1
"Ha’s Snack Bar","Grub Street",1
"Ha’s Đặc Biệt","Infatuation",1
"Height of the taper candles","Infatuation",1
"Hometown Bar-B-Que","Infatuation",1
"Hours the birria is simmered","Infatuation",1
"How to get into Bong","Infatuation",1
"How to get into Bungalow","Infatuation",1
"How to get into Ha's Snack Bar","Infatuation",1
"How to get into Le Veau d'Or","Infatuation",1
"How to get into Red Hook Tavern","Infatuation",1
"How to get into Semma","Infatuation",1
"How to get into Tatiana","Infatuation",1
"How to get into Torrisi Bar & Restaurant","Infatuation",1
"I Cavallini","Grub Street; Infatuation",2
"I Sodi","Infatuation",1
"JR & Son","Grub Street",1
"James Murphy sightings","Infatuation",1
"Joo Ok","Grub Street",1
"Juici Patties","Grub Street",1
"K'Far","TimeOut",1
"Kabawa","Grub Street; TimeOut",2
"Kanyakumari","Grub Street",1
"Kisa","Infatuation; TimeOut",2
"Kochi","TimeOut",1
"Kokomo Restaurant & Lounge","TimeOut",1
"L'Industrie Pizzeria","Infatuation",1
"La Piraña Lechonera","TimeOut",1
"La Tête d’Or","Grub Street",1
"Le Bernardin","Infatuation",1
"Le Chêne","Grub Street",1
"Le Veau d'Or","Infatuation",1
"Le Veau d’Or","Grub Street",1
"Lechonera La Piraña","Infatuation",1
"Lei","Grub Street",1
"Leland Eating and Drinking House","TimeOut",1
"Location of the iconic slumbering calf painting","Infatuation",1
"Louis Vuitton flagship","Infatuation",1
"L’Industrie Pizzeria","Infatuation; TimeOut",2
"Malaysia Beef Jerky","Grub Street",1
"Mama's Too","TimeOut",1
"Maru","Grub Street",1
"Mary O’s Irish Soda Bread Shop","Grub Street",1
"Masks on the wall","Infatuation",1
"Massara On Park","Infatuation",1
"Maxi’s Noodle 3","Grub Street",1
"Mắm","Infatuation",1
"Mexico City-inspired spot","Infatuation",1
"Mixteca","Grub Street",1
"Mommy Pai’s","Grub Street",1
"Moroccan musicians we discovered from the playlist","Infatuation",1
"Mắm","Infatuation",1
"NY Kimchi","TimeOut",1
"NYC’s New Restaurant Openings","Infatuation",1
"Napkins used per meal","Infatuation",1
"New York","Infatuation",1
"Noodle Village","Grub Street",1
"Number of banchan available","Infatuation",1
"Odds there’s a table available tonight","Infatuation",1
"Once-a-Week Doughnuts","Grub Street",1
"Ops","TimeOut",1
"Options at the coffee dispenser","Infatuation",1
"Oxomoco","TimeOut",1
"Patties That Showed Up Everywhere","Grub Street",1
"Patty Palace","Grub Street",1
"Penny","Grub Street; Infatuation",2
"People wearing kitten heels","Infatuation",1
"People you can squeeze into a four-person booth","Infatuation",1
"Philly-famous","Infatuation",1
"Phoenix Palace","Infatuation",1
"Photo opps with the chef","Infatuation",1
"Pianos","Infatuation",1
"Pizza That’s Worth the Arduous Wait","Grub Street",1
"Place des Fêtes","TimeOut",1
"Pork products in the O.G. Bánh Mì","Infatuation",1
"Possible combinations for the three-course prix fixe","Infatuation",1
"Price of a Narragansett","Infatuation",1
"Price of a cheese pie","Infatuation",1
"Price of a take-home kilo of carnitas","Infatuation",1
"Price of the lobster","Infatuation",1
"Priciest item","Infatuation",1
"Printemps","Infatuation",1
"READ THE REVIEW","Infatuation",1
"Red Hook Tavern","Infatuation",1
"Red Meat Done Right","Grub Street",1
"Related","Grub Street",1
"Repeat customers we spotted","Infatuation",1
"Rice Thief","Infatuation",1
"Roman’s","Infatuation",1
"Roscioli NYC","TimeOut",1
"Rowdy Rooster","Infatuation",1
"Sailor","TimeOut",1
"Saint Urban","Infatuation",1
"San Sabino","TimeOut",1
"Santi","Grub Street",1
"Santo Taco","Grub Street; Infatuation",2
"Sawa","Grub Street",1
"Scarr's Pizza","TimeOut",1
"Selena Gomez and Benny Blanco sightings","Infatuation",1
"Semma","Infatuation; TimeOut",2
"Servers who appeared on ‘Jury Duty’","Infatuation",1
"Sesame seeds on the house-baked hoagie roll","Infatuation",1
"Shapes and styles of stemware","Infatuation",1
"Shapes in the pasta mista","Infatuation",1
"Shaw-naé's House","Infatuation",1
"Shaw-naé’s House","Infatuation",1
"Shota Omakase","TimeOut",1
"Shu Jiao Fu Zhou Cuisine","Infatuation",1
"Smithereens","Infatuation",1
"Sourdough With Staying Power","Grub Street",1
"Space between tables","Infatuation",1
"Starting price of a bottle of wine","Infatuation",1
"Steely Dan songs on the playlist","Infatuation",1
"Stools at the long counter","Infatuation",1
"Strange Delight","Grub Street",1
"Suggested Reading","Infatuation",1
"Sunn's","Infatuation",1
"Sunn’s","Grub Street",1
"Sushi 35 West","TimeOut",1
"Sushi Nakazawa","TimeOut",1
"Sylvia's","TimeOut",1
"THE SPOTS","Infatuation",1
"Tables inside","Infatuation",1
"Taco varieties","Infatuation",1
"Tal","Grub Street",1
"Tanoreen","TimeOut",1
"Taqueria Ramirez from the same team.)","Infatuation",1
"Tatiana","Infatuation",1
"Tatiana by Kwame Onwuachi","TimeOut",1
"Thai Diner","Infatuation; TimeOut",2
"The Arepa Lady","TimeOut",1
"The Fly","Infatuation",1
"The Four Horsemen","Infatuation",1
"The Grill","Infatuation",1
"The Most Comforting Bowl of Tagliatelle","Grub Street",1
"The Snail","Grub Street",1
"The Top 25, Explained","Infatuation",1
"The View","Grub Street",1
"Theodora","TimeOut",1
"Time you should arrive for a walk-in seat","Infatuation",1
"Times we snagged a walk-in bar seat","Infatuation",1
"Times we waited on line for pizza","Infatuation",1
"Times we’ve been since it opened","Infatuation",1
"Torrisi Bar & Restaurant","Infatuation",1
"Tortelli","Grub Street",1
"Trinciti Roti Shop","Infatuation",1
"Types of banchan you receive","Infatuation",1
"Types of bread they make in-house","Infatuation",1
"Vegetables that change your view on vegetables","Infatuation",1
"Via Carota","Infatuation; TimeOut",2
"Vintage jukeboxes bought off Craigslist","Infatuation",1
"Wegmans","Infatuation",1
"Well-dressed Prospect Heights toddlers getting their greens","Infatuation",1
"West Village location","Infatuation",1
"Wild red argentine shrimp on the Gunsan Platter","Infatuation",1
"Wonton Noodle","Grub Street",1
"Work tasks accomplished after eating one of these","Infatuation",1
"Written By","Infatuation",1
"Xie Bao","Infatuation",1
"Year established","Infatuation",1
"Year of the Rap Caviar playlist blasting inside","Infatuation",1
"Zimmi’s","Grub Street",1
"‘Fargo’ VHS tapes on display","Infatuation",1
